300
idx | max_length | batch_size | initial_lr | decay_steps | decay_rate | clipnorm  | lstm_size | dense_size
228 | 10         | 4          | 0.0018712  | 100         | 0.5663229  | 1.0157037 | 32        | 32         --> 88.98
45  | 10         | 5          | 0.0305740  | 1712        | 0.5367565  | 0.2370515 | 16        | 64         --> 88.77
179 | 65         | 32         | 0.0048343  | 1854        | 0.1000000  | 0.1668093 | 32        | 32         --> 88.77
201 | 10         | 32         | 0.0542012  | 668         | 0.2963115  | 0.7490527 | 32        | 16         --> 88.77
245 | 10         | 4          | 0.0084133  | 2201        | 0.8146054  | 0.8431000 | 32        | 32         --> 88.36
278 | 10         | 32         | 0.0089914  | 100         | 0.8333376  | 0.3016486 | 64        | 32         --> 88.36
202 | 10         | 32         | 0.0359386  | 731         | 0.1451058  | 0.5269795 | 16        | 64         --> 88.15
39  | 10         | 10         | 0.0277568  | 3000        | 0.4257790  | 0.3437534 | 16        | 64         --> 88.15
37  | 10         | 4          | 0.0320174  | 1942        | 0.3624709  | 0.7477712 | 32        | 64         --> 88.15
35  | 10         | 4          | 0.0435351  | 2218        | 0.4064205  | 0.1192543 | 32        | 64         --> 87.94
